Número de característica,N,AS,MR,MS,MVP,p-valor
SBV 1,0.018896 ± 0.087408,0.018400 ± 0.087514,0.027717 ± 0.085004,0.017906 ± 0.087617,0.018280 ± 0.087539,1.709414722448531e-10
SBV 2,0.019631 ± 0.087244,0.031893 ± 0.083515,0.021369 ± 0.086831,0.018720 ± 0.087446,0.024023 ± 0.086129,1.432115634018639e-19
SBV 3,0.019891 ± 0.087185,0.020373 ± 0.087072,0.021302 ± 0.086848,0.021240 ± 0.086863,0.020368 ± 0.087074,5.09029839640231e-05
SBV 4,0.024171 ± 0.086088,0.023368 ± 0.086311,0.020962 ± 0.086931,0.022024 ± 0.086666,0.018322 ± 0.087531,5.7306119177253725e-06
SBV 5,0.019724 ± 0.087223,0.020748 ± 0.086983,0.022149 ± 0.086634,0.019682 ± 0.087233,0.031728 ± 0.083578,2.7877060622927402e-15
SBV 6,0.021097 ± 0.086899,0.029474 ± 0.084406,0.031832 ± 0.083538,0.018356 ± 0.087523,0.019939 ± 0.087174,6.2454092977077474e-27
SBV 7,0.018460 ± 0.087501,0.019777 ± 0.087211,0.022085 ± 0.086651,0.027568 ± 0.085052,0.019093 ± 0.087364,9.146383659797104e-08
