,N,AS,MR,MS,MVP
N,96.5,0.0,0.5,0.5,2.5
AS,0.0,96.0,1.5,1.0,1.5
MR,1.5,3.0,92.5,2.0,1.0
MS,0.5,0.5,1.5,92.5,5.0
MVP,4.5,2.0,2.0,3.0,88.5
