pdf,paginas,v1_minimo_18_paginas,verticales,paginas_vacias,paginas_pobres,imagenes,sin_ranking_silhouette_en_v1,v1_contiene_mejora_cnn_951_1000,contiene_resultado8_deep_onmf_sin_descartar_menores_2s,contiene_perfil_softmin_errores_f8,contiene_0.2602,contiene_1.3756,contiene_1000,contiene_951,contiene_NNDSVD,contiene_NNDSVDa,contiene_NNDSVDar,contiene_Normal actual,contiene_Mejorado actual,contiene_Historico f8
Documento explicativo v1.pdf,22,True,True,0,0,5,True,True,True,True,True,True,True,True,True,True,True,False,False,False
Documento explicativo v2.pdf,23,,True,0,0,13,,,True,True,True,True,True,True,True,True,True,False,False,False
