,N,AS,MR,MS,MVP
N,96.0,0.0,0.5,0.5,3.0
AS,0.5,94.5,2.5,0.0,2.5
MR,0.0,3.5000000000000004,92.5,2.5,1.5
MS,0.0,1.0,1.0,94.0,4.0
MVP,3.5000000000000004,1.5,1.0,1.5,92.5
