capa,rango,error_medio,error_min,error_max,ortogonalidad_media,segundos_totales,lectura
1,9,0.09006547504064588,0.0453877060149245,0.1251920886120892,0.4790774673561303,15.9114523997996,primera compresion espectral amplia
2,8,0.16118050454185115,0.1572674559470532,0.1654192898062004,0.2701529334570162,7.5845707999542356,segunda capa: patrones mas compactos
3,7,0.24163136469061292,0.2208874946579388,0.2572395782339852,0.1892715636662714,6.575533400289714,tercera capa: 7 SBV finales
