,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,39,0,0,1,0
real_AS,0,28,2,9,1
real_MR,0,3,31,6,0
real_MS,4,4,1,29,2
real_MVP,11,1,1,4,23
