distribucion,representacion,padding_aplicado,forma_original,forma_ujanet,filas_cero_anadidas,columnas_cero_anadidas
14-11-8-5,DeepONMF_W,False,126x5,126x5,0,0
14-11-8-5,DeepONMF_H4,False,5x212,5x212,0,0
