,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,38,1,0,0,1
real_AS,0,37,1,2,0
real_MR,0,12,26,2,0
real_MS,4,15,2,16,3
real_MVP,8,7,4,0,21
