,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,33,0,2,1,4
real_AS,0,37,3,0,0
real_MR,4,3,29,1,3
real_MS,0,1,0,37,2
real_MVP,6,1,4,0,29
