,N,AS,MR,MS,MVP
N,98.5,0.0,0.0,0.5,1.0
AS,0.5,95.5,2.5,0.0,1.5
MR,2.0,5.0,90.0,1.5,1.5
MS,1.0,0.5,1.0,93.5,4.0
MVP,1.5,3.0,2.0,1.5,92.0
