,N,AS,MR,MS,MVP
N,99.0,0.0,0.5,0.0,0.5
AS,0.0,96.5,3.0,0.0,0.5
MR,0.5,0.5,97.0,1.0,1.0
MS,0.0,0.5,2.0,93.5,4.0
MVP,2.5,2.5,3.0,1.5,90.5
