clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,39,159,1,1,0.99,0.975,0.99375,0.975,0.984375,40
AS,40,159,1,0,0.995,1.0,0.99375,0.975609756097561,0.996875,40
MR,37,158,2,3,0.975,0.925,0.9875,0.9487179487179487,0.95625,40
MS,39,157,3,1,0.98,0.975,0.98125,0.9285714285714286,0.9781249999999999,40
MVP,37,159,1,3,0.98,0.925,0.99375,0.9736842105263158,0.9593750000000001,40
PROMEDIO_MACRO,192,792,8,8,0.984,0.9600000000000002,0.99,0.9603166687826509,0.975,200
