,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,0,0,0,3
real_AS,0,36,2,2,0
real_MR,2,7,25,5,1
real_MS,3,12,3,17,5
real_MVP,6,2,0,2,30
