,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,0,0,0,3
real_AS,0,39,1,0,0
real_MR,0,1,38,0,1
real_MS,0,0,2,37,1
real_MVP,1,0,5,2,32
