,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,39,0,1,0,0
real_AS,1,38,1,0,0
real_MR,4,5,29,2,0
real_MS,0,0,0,37,3
real_MVP,2,2,1,2,33
