distribucion,representacion,padding_aplicado,forma_original,forma_ujanet,filas_cero_anadidas,columnas_cero_anadidas
16-11,DeepONMF_W,False,126x11,126x11,0,0
16-11,DeepONMF_H2,False,11x212,11x212,0,0
