,N,AS,MR,MS,MVP
N,88.0,0.5,0.0,5.0,6.5
AS,0.0,80.5,10.5,8.0,1.0
MR,1.0,10.0,77.0,10.0,2.0
MS,4.5,7.000000000000001,2.5,77.5,8.5
MVP,10.5,4.0,12.5,18.5,54.50000000000001
