base,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
SNR_5db,ONMF_W_7,1,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8800432900432901,0.925,200
SNR_5db,ONMF_W_7,2,PROMEDIO_MACRO,166,766,34,34,0.932,0.8299999999999998,0.9574999999999999,0.8439860359035437,0.89375,200
SNR_5db,ONMF_W_7,3,PROMEDIO_MACRO,164,764,36,36,0.9279999999999999,0.8200000000000001,0.9549999999999998,0.8200163042268305,0.8875,200
SNR_5db,ONMF_W_7,4,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.9650000000000001,0.8650896550896551,0.9125,200
SNR_5db,ONMF_W_7,5,PROMEDIO_MACRO,169,769,31,31,0.938,0.845,0.9612499999999999,0.8468687865827453,0.903125,200
