indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
543,SNR_-8db,MR,New_MR_144.wav,10,DeepONMF_H1,1,0.38857922464479305,10x212,0.008970300084911287,10,0.38857922464479305,0.31522305454165,0.008267999975942075
544,SNR_-8db,MR,New_MR_145.wav,10,DeepONMF_H1,1,0.39149079904364953,10x212,0.007985600037500262,10,0.39149079904364953,0.32469950930371155,0.007247000001370907
545,SNR_-8db,MR,New_MR_146.wav,10,DeepONMF_H1,1,0.39127682478767034,10x212,0.00759490008931607,10,0.39127682478767045,0.3196845299614282,0.006972800008952618
546,SNR_-8db,MR,New_MR_147.wav,10,DeepONMF_H1,1,0.3922834214997181,10x212,0.006971099996007979,10,0.3922834214997181,0.32926628419627757,0.006509699975140393
547,SNR_-8db,MR,New_MR_148.wav,10,DeepONMF_H1,1,0.38872957110946166,10x212,0.007630100008100271,10,0.38872957110946166,0.33548927951471175,0.006915500038303435
548,SNR_-8db,MR,New_MR_149.wav,10,DeepONMF_H1,1,0.39288823629287845,10x212,0.007044800091534853,10,0.39288823629287845,0.3042439209129043,0.006313299993053079
549,SNR_-8db,MR,New_MR_150.wav,10,DeepONMF_H1,1,0.3920411844998765,10x212,0.007831600029021502,10,0.39204118449987657,0.34426063348231833,0.007146400050260127
550,SNR_-8db,MR,New_MR_151.wav,10,DeepONMF_H1,1,0.3852793627969844,10x212,0.006744600017555058,10,0.3852793627969844,0.300624273001683,0.006261000060476363
551,SNR_-8db,MR,New_MR_152.wav,10,DeepONMF_H1,1,0.3865759431116504,10x212,0.007187900017015636,10,0.3865759431116504,0.3178049122812312,0.006576799903996289
552,SNR_-8db,MR,New_MR_153.wav,10,DeepONMF_H1,1,0.3921576155094991,10x212,0.007019700016826391,10,0.3921576155094991,0.29580275541860496,0.00634570000693202
553,SNR_-8db,MR,New_MR_154.wav,10,DeepONMF_H1,1,0.39100362113690457,10x212,0.0073654999723657966,10,0.39100362113690457,0.3073539932207451,0.00680629990529269
554,SNR_-8db,MR,New_MR_155.wav,10,DeepONMF_H1,1,0.3894598469873165,10x212,0.007456299965269864,10,0.3894598469873165,0.3070160290017358,0.006734399939887226
555,SNR_-8db,MR,New_MR_156.wav,10,DeepONMF_H1,1,0.3897500789330517,10x212,0.007029599975794554,10,0.3897500789330517,0.3016283448716772,0.006466499995440245
556,SNR_-8db,MR,New_MR_157.wav,10,DeepONMF_H1,1,0.39223691225576174,10x212,0.007823599968105555,10,0.39223691225576174,0.3063548170578144,0.0072119999676942825
557,SNR_-8db,MR,New_MR_158.wav,10,DeepONMF_H1,1,0.3951809256886845,10x212,0.007429200108163059,10,0.3951809256886845,0.3178705111699979,0.00692199997138232
558,SNR_-8db,MR,New_MR_159.wav,10,DeepONMF_H1,1,0.3992894068834783,10x212,0.008428800036199391,10,0.3992894068834783,0.30028335789774036,0.007832600036635995
559,SNR_-8db,MR,New_MR_160.wav,10,DeepONMF_H1,1,0.3946501927163897,10x212,0.007531300070695579,10,0.3946501927163897,0.29061373691451625,0.007029899978078902
560,SNR_-8db,MR,New_MR_161.wav,10,DeepONMF_H1,1,0.390512610867255,10x212,0.007667599944397807,10,0.390512610867255,0.32841975519577016,0.007093599997460842
561,SNR_-8db,MR,New_MR_162.wav,10,DeepONMF_H1,1,0.3940048787688902,10x212,0.007131999940611422,10,0.3940048787688902,0.3253132334086607,0.006588099990040064
562,SNR_-8db,MR,New_MR_163.wav,10,DeepONMF_H1,1,0.39094576244848595,10x212,0.007304799975827336,10,0.39094576244848595,0.33869650363979303,0.006535900058224797
563,SNR_-8db,MR,New_MR_164.wav,10,DeepONMF_H1,1,0.3885551092565407,10x212,0.007336099981330335,10,0.38855510925654063,0.33219533529537054,0.006597899948246777
564,SNR_-8db,MR,New_MR_165.wav,10,DeepONMF_H1,1,0.39631646695727996,10x212,0.006880300003103912,10,0.39631646695727996,0.3023939972731172,0.00625690002925694
565,SNR_-8db,MR,New_MR_166.wav,10,DeepONMF_H1,1,0.3881410325445967,10x212,0.0075035999761894345,10,0.38814103254459675,0.30038299243570815,0.00681839999742806
566,SNR_-8db,MR,New_MR_167.wav,10,DeepONMF_H1,1,0.3957157197562729,10x212,0.007697199936956167,10,0.39571571975627284,0.324031896753032,0.006939199985936284
567,SNR_-8db,MR,New_MR_168.wav,10,DeepONMF_H1,1,0.38973997497223445,10x212,0.007753000012598932,10,0.38973997497223445,0.29772232236841234,0.007137599983252585
568,SNR_-8db,MR,New_MR_169.wav,10,DeepONMF_H1,1,0.39182485070869033,10x212,0.007460599998012185,10,0.39182485070869033,0.3032145558188307,0.006769999978132546
569,SNR_-8db,MR,New_MR_170.wav,10,DeepONMF_H1,1,0.3938791598485735,10x212,0.007963199983350933,10,0.3938791598485735,0.33361613905136794,0.007333100074902177
570,SNR_-8db,MR,New_MR_171.wav,10,DeepONMF_H1,1,0.38822260174385315,10x212,0.007569400011561811,10,0.38822260174385315,0.32060012230902313,0.00683620001655072
571,SNR_-8db,MR,New_MR_172.wav,10,DeepONMF_H1,1,0.394257653451032,10x212,0.00814160006120801,10,0.3942576534510321,0.3191518645393339,0.007495800033211708
572,SNR_-8db,MR,New_MR_173.wav,10,DeepONMF_H1,1,0.3956863389917386,10x212,0.00759769999422133,10,0.3956863389917386,0.30869318414148594,0.006934900069609284
573,SNR_-8db,MR,New_MR_174.wav,10,DeepONMF_H1,1,0.39030194644632565,10x212,0.008935599937103689,10,0.39030194644632565,0.3242911921827406,0.008000100031495094
574,SNR_-8db,MR,New_MR_175.wav,10,DeepONMF_H1,1,0.39110895461424605,10x212,0.007878099917434156,10,0.39110895461424605,0.33904011636418485,0.00724649999756366
575,SNR_-8db,MR,New_MR_176.wav,10,DeepONMF_H1,1,0.3915332768988819,10x212,0.008327499963343143,10,0.3915332768988819,0.3077110433408971,0.0075925999553874135
576,SNR_-8db,MR,New_MR_177.wav,10,DeepONMF_H1,1,0.3914870164224278,10x212,0.007952700019814074,10,0.3914870164224278,0.3220621424488786,0.007265699910931289
577,SNR_-8db,MR,New_MR_178.wav,10,DeepONMF_H1,1,0.3881012713210814,10x212,0.008515800000168383,10,0.3881012713210814,0.34286963316918007,0.007715999963693321
578,SNR_-8db,MR,New_MR_179.wav,10,DeepONMF_H1,1,0.3962707096876114,10x212,0.008219399955123663,10,0.3962707096876114,0.31902094253462854,0.007429099990986288
579,SNR_-8db,MR,New_MR_180.wav,10,DeepONMF_H1,1,0.39100285536998997,10x212,0.008353599929250777,10,0.39100285536998997,0.3116920446029068,0.007662400021217763
580,SNR_-8db,MR,New_MR_181.wav,10,DeepONMF_H1,1,0.39460169228452197,10x212,0.008068899973295629,10,0.39460169228452197,0.31204805569609745,0.007298300042748451
581,SNR_-8db,MR,New_MR_182.wav,10,DeepONMF_H1,1,0.39450769686495574,10x212,0.009169899974949658,10,0.39450769686495574,0.33186501262573215,0.008206300088204443
582,SNR_-8db,MR,New_MR_183.wav,10,DeepONMF_H1,1,0.38782958826855124,10x212,0.008456500014290214,10,0.3878295882685512,0.3374122403190026,0.0077034999849274755
