,N,AS,MR,MS,MVP
N,99.0,0.0,1.0,0.0,0.0
AS,0.0,96.5,2.5,0.0,1.0
MR,1.0,1.5,94.5,2.0,1.0
MS,0.5,1.0,1.5,94.5,2.5
MVP,1.0,2.5,1.0,2.0,93.5
