epoca,loss_train,loss_val
1,1.351717686966846,0.750396728515625
2,0.883931995222443,0.5331555008888245
3,0.640736997127533,0.4515148401260376
4,0.5631367799482847,0.4571642577648163
5,0.4856661824803603,0.3732869029045105
6,0.4495838647218127,0.3543621301651001
7,0.384927318480454,0.31831657886505127
8,0.34085517788403913,0.25242331624031067
9,0.2897311673058491,0.2936915457248688
10,0.3283829946855181,0.323613703250885
11,0.2756479096745974,0.2531207799911499
12,0.23800761889862387,0.19828906655311584
13,0.19257759268542654,0.20001845061779022
14,0.2371406489983201,0.2071501612663269
15,0.21291003204686076,0.23067274689674377
16,0.16916117648054896,0.24494315683841705
17,0.12949935921565875,0.301337331533432
18,0.13376523667064152,0.20376302301883698
19,0.10691709041987595,0.24098002910614014
20,0.0858988826757444,0.3417623043060303
21,0.062013331794572114,0.29210034012794495
22,0.06224447813062733,0.23868587613105774
