,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,0,0,0,3
real_AS,0,31,1,8,0
real_MR,0,3,29,4,4
real_MS,2,4,0,27,7
real_MVP,3,3,3,7,24
