,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,38,1,0,0,1
real_AS,0,35,3,0,2
real_MR,0,2,32,5,1
real_MS,0,3,0,37,0
real_MVP,4,4,1,1,30
