epoca,loss_train,loss_val
1,1.6528893113136292,1.0902591943740845
2,0.9070620325050855,0.5569680333137512
3,0.580655141292434,0.38442927598953247
4,0.43531197113426107,0.3279648721218109
5,0.35690266070397275,0.40853190422058105
6,0.33127869920510994,0.2712622284889221
7,0.22430048422201684,0.3031965494155884
8,0.1464527815482334,0.3908641040325165
9,0.1443435043329373,0.5008090734481812
10,0.15504039805627576,0.37878045439720154
11,0.10934277800046593,0.36862683296203613
12,0.11514546394985366,0.48340120911598206
13,0.09247227893884931,0.33788803219795227
14,0.07333899564936903,0.3953630328178406
15,0.07736355766016793,0.3223010003566742
16,0.04795550713415172,0.33706867694854736
