distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
8-5-3,KNN,DeepONMF_H3,0.962,0.012549900398011146,0.9875,0.009882117688026212,0.86,0.03354101966249687,0.9657917762689767,0.008054423336217654,0.9237500000000001,0.01959053502332183
8-5-3,KNN,DeepONMF_W,0.897,0.01604680653588123,0.91375,0.02313344440415219,0.8300000000000001,0.027386127875258317,0.955648347374883,0.006434634278116803,0.871875,0.01189964547791236
8-5-3,SVM,DeepONMF_H3,0.967,0.01788854381999834,0.97625,0.014921670482891638,0.93,0.03259601202601319,0.9823569902442957,0.00826991891851927,0.953125,0.023070036031614668
8-5-3,SVM,DeepONMF_W,0.906,0.0054772255750516665,0.89625,0.011353688827865607,0.945,0.02091650066335182,0.9849659373824915,0.005518141819884803,0.920625,0.005676844413932759
8-5-3,UjaNet,DeepONMF_H3,0.985,0.006123724356957954,0.9925,0.008149003006503317,0.9550000000000001,0.0273861278752583,0.9888493942563293,0.006674353196847766,0.9737500000000001,0.012223504509755
8-5-3,UjaNet,DeepONMF_W,0.9640000000000001,0.02073644135332769,0.9775,0.021919597395937747,0.9099999999999999,0.03354101966249683,0.9774993138943271,0.00844177667164559,0.94375,0.02285740443488715
