epoca,loss_train,loss_val
1,0.4301933654044804,0.1881619095802307
2,0.22251438324976908,0.10824006795883179
3,0.1471550891322917,0.08348020911216736
4,0.10454612912757225,0.07010913640260696
5,0.0749157084302217,0.069770947098732
6,0.07252494803642069,0.0688675194978714
7,0.05846911343120921,0.07139889895915985
8,0.04919427448093254,0.05057631433010101
9,0.021432515549301905,0.04650693014264107
10,0.015943692146959763,0.03963041678071022
11,0.014945761362433155,0.05036253482103348
12,0.018925011872948073,0.04621411859989166
13,0.014389515607322928,0.053975071758031845
14,0.011657597516587933,0.04852353408932686
15,0.0036102930281518447,0.05265418440103531
16,0.0033436445216764236,0.0673341304063797
17,0.015912925762096932,0.04132654145359993
18,0.007075682831420612,0.04461628943681717
19,0.005723379676232342,0.05607914552092552
20,0.002076280864777776,0.06449218839406967
