,N,AS,MR,MS,MVP
N,98.5,0.0,0.5,0.0,1.0
AS,0.5,96.0,2.0,0.0,1.5
MR,2.0,4.0,91.0,2.0,1.0
MS,0.5,0.0,2.5,94.0,3.0
MVP,3.0,3.5000000000000004,1.0,1.5,91.0
