distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
7-5,2,KNN,DeepONMF_H2,1,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
7-5,2,KNN,DeepONMF_H2,2,156,39,1,4,0.975,0.975,0.975,0.9936305732484076,0.975
7-5,2,KNN,DeepONMF_H2,3,156,34,6,4,0.95,0.975,0.85,0.9629629629629629,0.9125
7-5,2,KNN,DeepONMF_H2,4,156,35,5,4,0.955,0.975,0.875,0.968944099378882,0.925
7-5,2,KNN,DeepONMF_H2,5,159,33,7,1,0.96,0.99375,0.825,0.9578313253012049,0.909375
7-5,2,KNN,DeepONMF_W,1,150,36,4,10,0.93,0.9375,0.9,0.974025974025974,0.91875
7-5,2,KNN,DeepONMF_W,2,145,34,6,15,0.895,0.90625,0.85,0.9602649006622517,0.878125
7-5,2,KNN,DeepONMF_W,3,146,34,6,14,0.9,0.9125,0.85,0.9605263157894737,0.88125
7-5,2,KNN,DeepONMF_W,4,145,35,5,15,0.9,0.90625,0.875,0.9666666666666667,0.890625
7-5,2,KNN,DeepONMF_W,5,149,35,5,11,0.92,0.93125,0.875,0.9675324675324676,0.903125
7-5,2,SVM,DeepONMF_H2,1,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
7-5,2,SVM,DeepONMF_H2,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
7-5,2,SVM,DeepONMF_H2,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
7-5,2,SVM,DeepONMF_H2,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
7-5,2,SVM,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
7-5,2,SVM,DeepONMF_W,1,148,39,1,12,0.935,0.925,0.975,0.9932885906040269,0.95
7-5,2,SVM,DeepONMF_W,2,150,38,2,10,0.94,0.9375,0.95,0.9868421052631579,0.94375
7-5,2,SVM,DeepONMF_W,3,148,37,3,12,0.925,0.925,0.925,0.9801324503311258,0.925
7-5,2,SVM,DeepONMF_W,4,145,38,2,15,0.915,0.90625,0.95,0.9863945578231292,0.928125
7-5,2,SVM,DeepONMF_W,5,147,36,4,13,0.915,0.91875,0.9,0.9735099337748344,0.909375
7-5,2,UjaNet,DeepONMF_H2,1,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
7-5,2,UjaNet,DeepONMF_H2,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
7-5,2,UjaNet,DeepONMF_H2,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
7-5,2,UjaNet,DeepONMF_H2,4,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
7-5,2,UjaNet,DeepONMF_H2,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
7-5,2,UjaNet,DeepONMF_W,1,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
7-5,2,UjaNet,DeepONMF_W,2,151,39,1,9,0.95,0.94375,0.975,0.993421052631579,0.959375
7-5,2,UjaNet,DeepONMF_W,3,154,34,6,6,0.94,0.9625,0.85,0.9625,0.90625
7-5,2,UjaNet,DeepONMF_W,4,143,38,2,17,0.905,0.89375,0.95,0.9862068965517241,0.921875
7-5,2,UjaNet,DeepONMF_W,5,153,36,4,7,0.945,0.95625,0.9,0.9745222929936306,0.9281250000000001
