distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
10-8-6-4,4,KNN,DeepONMF_H4,1,156,33,7,4,0.945,0.975,0.825,0.9570552147239264,0.8999999999999999
10-8-6-4,4,KNN,DeepONMF_H4,2,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
10-8-6-4,4,KNN,DeepONMF_H4,3,156,32,8,4,0.94,0.975,0.8,0.9512195121951219,0.8875
10-8-6-4,4,KNN,DeepONMF_H4,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
10-8-6-4,4,KNN,DeepONMF_H4,5,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
10-8-6-4,4,KNN,DeepONMF_W,1,141,34,6,19,0.875,0.88125,0.85,0.9591836734693877,0.865625
10-8-6-4,4,KNN,DeepONMF_W,2,143,36,4,17,0.895,0.89375,0.9,0.9727891156462585,0.8968750000000001
10-8-6-4,4,KNN,DeepONMF_W,3,144,35,5,16,0.895,0.9,0.875,0.9664429530201343,0.8875
10-8-6-4,4,KNN,DeepONMF_W,4,147,32,8,13,0.895,0.91875,0.8,0.9483870967741935,0.859375
10-8-6-4,4,KNN,DeepONMF_W,5,148,33,7,12,0.905,0.925,0.825,0.9548387096774194,0.875
10-8-6-4,4,SVM,DeepONMF_H4,1,156,37,3,4,0.965,0.975,0.925,0.9811320754716981,0.95
10-8-6-4,4,SVM,DeepONMF_H4,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
10-8-6-4,4,SVM,DeepONMF_H4,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
10-8-6-4,4,SVM,DeepONMF_H4,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
10-8-6-4,4,SVM,DeepONMF_H4,5,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
10-8-6-4,4,SVM,DeepONMF_W,1,142,39,1,18,0.905,0.8875,0.975,0.993006993006993,0.9312499999999999
10-8-6-4,4,SVM,DeepONMF_W,2,144,39,1,16,0.915,0.9,0.975,0.993103448275862,0.9375
10-8-6-4,4,SVM,DeepONMF_W,3,145,37,3,15,0.91,0.90625,0.925,0.9797297297297297,0.915625
10-8-6-4,4,SVM,DeepONMF_W,4,147,39,1,13,0.93,0.91875,0.975,0.9932432432432432,0.9468749999999999
10-8-6-4,4,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
10-8-6-4,4,UjaNet,DeepONMF_H4,1,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
10-8-6-4,4,UjaNet,DeepONMF_H4,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
10-8-6-4,4,UjaNet,DeepONMF_H4,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
10-8-6-4,4,UjaNet,DeepONMF_H4,4,156,39,1,4,0.975,0.975,0.975,0.9936305732484076,0.975
10-8-6-4,4,UjaNet,DeepONMF_H4,5,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
10-8-6-4,4,UjaNet,DeepONMF_W,1,155,37,3,5,0.96,0.96875,0.925,0.9810126582278481,0.946875
10-8-6-4,4,UjaNet,DeepONMF_W,2,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
10-8-6-4,4,UjaNet,DeepONMF_W,3,151,33,7,9,0.92,0.94375,0.825,0.9556962025316456,0.8843749999999999
10-8-6-4,4,UjaNet,DeepONMF_W,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
10-8-6-4,4,UjaNet,DeepONMF_W,5,157,35,5,3,0.96,0.98125,0.875,0.9691358024691358,0.928125
