comparación,distancia
N-AS,0.32060033443927405
N-MR,0.0659231740363242
N-MS,0.08269067333072333
N-MVP,0.24733327399050375
AS-MR,0.25467716040294985
AS-MS,0.4032910077699974
AS-MVP,0.5679336084297778
MR-MS,0.14861384736704752
MR-MVP,0.31325644802682795
MS-MVP,0.16464260065978042
