indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h
0,4-7-12,3,0.18388935008045346,12x212,0.019606500020017847,4,0.11632745336027525,0.2718301472900866,7,0.05088803539125233,0.145817192319931,12,0.12256876924599494,0.1237933266601882
1,4-7-12,3,0.19344442629858066,12x212,0.025296500010881573,4,0.10475134547990392,0.2231259548157908,7,0.05263013989814234,0.13854238428408103,12,0.1245265993511765,0.09730829541875213
2,4-7-12,3,0.20513695711136193,12x212,0.01979570000548847,4,0.0957282533764329,0.29659169468368635,7,0.15836833748440832,0.15994417694402172,12,0.11539623621571632,0.12325878210179363
3,4-7-12,3,0.17101585026392846,12x212,0.01985509999212809,4,0.10063212879703116,0.24486828709531552,7,0.05331500799255743,0.10212188489057607,12,0.050130536128731536,0.08251707502667084
4,4-7-12,3,0.18796512775844734,12x212,0.020223600004101172,4,0.12365951253280622,0.18003884274268347,7,0.04888167534625882,0.18562919078126147,12,0.06220438770239002,0.10992772398900495
5,4-7-12,3,0.17933326162664331,12x212,0.02098669999395497,4,0.10991041309103927,0.2626956342661927,7,0.04738586162971428,0.1793478928606906,12,0.06097869034758627,0.12850507605481407
6,4-7-12,3,0.17891997992581468,12x212,0.028598199976840988,4,0.11396052746884378,0.24481083748569699,7,0.05296685639503721,0.14006083542735764,12,0.04897415489033091,0.10101051934132499
7,4-7-12,3,0.19113522664056973,12x212,0.019676399999298155,4,0.08804318409102173,0.3038121706168827,7,0.1522275868249953,0.16138183065646286,12,0.04952631064477422,0.1380446999612033
8,4-7-12,3,0.18147253662153442,12x212,0.019506199983879924,4,0.11211878754965794,0.17873454285256,7,0.050461640541832706,0.12678130317351177,12,0.052850437728837754,0.12240280567882357
9,4-7-12,3,0.18173874443191873,12x212,0.019569900003261864,4,0.11083457905883723,0.2522422508074353,7,0.05126437901547967,0.15584773265257676,12,0.05278625926091019,0.11209870277153064
10,4-7-12,3,0.17437872380852118,12x212,0.02004000000306405,4,0.10646516980911759,0.2179272282241694,7,0.04842932817786067,0.1430467156933766,12,0.04899778156265713,0.12579796235865848
11,4-7-12,3,0.1833015017430891,12x212,0.019815300009213388,4,0.11456018773906215,0.30983826208498044,7,0.04852032261198055,0.16730723851765167,12,0.06480724070040646,0.11095716561825755
12,4-7-12,3,0.17194192014980442,12x212,0.028994399996008724,4,0.10536931236741667,0.26273584740240535,7,0.05135332001216174,0.16859371342662335,12,0.047376740059496915,0.12390878513620499
13,4-7-12,3,0.19826827598283903,12x212,0.030809499992756173,4,0.1398486697708098,0.15814484663222908,7,0.052161447703544875,0.076481899100207,12,0.04541160220958572,0.07289240437806975
14,4-7-12,3,0.1959408788455513,12x212,0.03109730000142008,4,0.10363499391125273,0.36578572474192056,7,0.12482589307363492,0.12114007570449764,12,0.05343942986031772,0.10303962362645146
15,4-7-12,3,0.1975788443190554,12x212,0.03203949998714961,4,0.10466373474395155,0.3725785563439234,7,0.1026549463325273,0.1573014940130425,12,0.070654864440238,0.09074064304089616
16,4-7-12,3,0.1745934083859427,12x212,0.033246399980271235,4,0.11264981728484419,0.2926337225948707,7,0.051341574867178316,0.1689093822986798,12,0.0513680427568562,0.09557148722742895
17,4-7-12,3,0.18095403241799257,12x212,0.03686389999347739,4,0.09559147848476165,0.3686391226024568,7,0.15007243991394725,0.14362073380252682,12,0.06135771323360816,0.12312012026118055
18,4-7-12,3,0.17758942455984464,12x212,0.03551420001895167,4,0.10729207485450486,0.3130998467938924,7,0.05745054822083175,0.16630388463946766,12,0.05358490234606358,0.10345753300742944
19,4-7-12,3,0.17295175907730082,12x212,0.030355700000654906,4,0.11017875193576714,0.30031533142482275,7,0.05133875772341085,0.13613771882940964,12,0.04997609902046169,0.09128048193680514
20,4-7-12,3,0.1929636306030999,12x212,0.03472679998958483,4,0.10866081437552881,0.29361674336929267,7,0.10427983440965925,0.11852014806369789,12,0.047505280847643355,0.09730077393390357
21,4-7-12,3,0.16812100678757638,12x212,0.02882180002052337,4,0.09831055196599185,0.2465045794689278,7,0.04848403039452474,0.1596807168453615,12,0.04606896656420203,0.11800153085001065
22,4-7-12,3,0.17866703890597607,12x212,0.02979040000354871,4,0.10902007426255614,0.23274202005908132,7,0.052221919595158914,0.19165755358250366,12,0.05181109318480791,0.09130531041679046
23,4-7-12,3,0.16494508633643937,12x212,0.027666399982990697,4,0.1025068925700098,0.24319088379476905,7,0.04912622977803081,0.1698686597783442,12,0.052672376406715196,0.16504251374298246
24,4-7-12,3,0.1745540364311625,12x212,0.021069499984150752,4,0.1017181624587129,0.3632686123985212,7,0.07192389412605218,0.16394042682826382,12,0.0504761036483017,0.11204467571753403
25,4-7-12,3,0.20897033254544597,12x212,0.02642000000923872,4,0.11994883434839158,0.28980242302712744,7,0.05174218713075129,0.16904086576770777,12,0.1186312372883976,0.11976720099755944
26,4-7-12,3,0.17500397444703183,12x212,0.02524639997864142,4,0.10610838000473156,0.21488530287174626,7,0.04643556691124962,0.11293578600712986,12,0.05298275200408456,0.09575287194603851
27,4-7-12,3,0.18397966017122375,12x212,0.02004469998064451,4,0.12115633355178818,0.22680693687766362,7,0.047535348038668795,0.14581507638885818,12,0.05083573616013257,0.09570298775443487
28,4-7-12,3,0.17886039372005005,12x212,0.028114199987612665,4,0.11051312935453268,0.2762597883228795,7,0.05107472838598146,0.1791677437188893,12,0.049547281040966035,0.11668213370566138
29,4-7-12,3,0.17571660849916806,12x212,0.031106800015550107,4,0.10272961622530814,0.3529699618776266,7,0.05473184399595271,0.210767379325779,12,0.048549860955735456,0.1491256339896785
30,4-7-12,3,0.19259520680344194,12x212,0.023300699976971373,4,0.11348679922293602,0.26987710031909673,7,0.050731806683320675,0.14189054487196692,12,0.07084925845888176,0.07664913797366976
31,4-7-12,3,0.18331463101519663,12x212,0.02600069998879917,4,0.11331076901314657,0.19165985703575447,7,0.0521903707135686,0.1521182532042507,12,0.057045558064478065,0.09756688857851352
32,4-7-12,3,0.19019319812523455,12x212,0.026511499978369102,4,0.1235488693067382,0.16926507140836378,7,0.050098893084340304,0.10310908707192666,12,0.05128977121145723,0.09356500050903062
33,4-7-12,3,0.17532410270769005,12x212,0.022291100001893938,4,0.11059565488975623,0.25758790329246467,7,0.0434234726658548,0.16947000582068045,12,0.049540788039212455,0.10972287135476418
34,4-7-12,3,0.1890367352490539,12x212,0.02067749999696389,4,0.11374420126569643,0.2617988794411132,7,0.0518818117110491,0.16410110882461368,12,0.08147438099785134,0.08921785529107447
35,4-7-12,3,0.213895588969495,12x212,0.028164999996079132,4,0.11819726114556843,0.2374760402802419,7,0.050519244291202504,0.15190936436903452,12,0.13853867480776735,0.08513313284098996
36,4-7-12,3,0.16094714202186097,12x212,0.025089100003242493,4,0.07393921577523249,0.16416805169368853,7,0.048107853311800605,0.11162364559578512,12,0.05157346880574177,0.08405478558310567
37,4-7-12,3,0.16816252610562307,12x212,0.02239899997948669,4,0.08344257292956488,0.3986979877585288,7,0.10527052114288327,0.13789538137521157,12,0.05152866724829943,0.1471328266542439
38,4-7-12,3,0.15315652796626505,12x212,0.030320699996082112,4,0.07123215967251337,0.16829445543742783,7,0.048741973653694814,0.1027131034071481,12,0.05045728992122568,0.10470273617287115
39,4-7-12,3,0.1479247880655182,12x212,0.022289699991233647,4,0.07494676672796478,0.23374451091045345,7,0.04375291568882197,0.21564935124376425,12,0.05130847650992158,0.13548238619891265
