base,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
SNR_0db,DeepONMF_H2,1,PROMEDIO_MACRO,196,796,4,4,0.9920000000000002,0.9800000000000001,0.9950000000000001,0.9803479853479853,0.9875,200
SNR_0db,DeepONMF_H2,2,PROMEDIO_MACRO,183,783,17,17,0.966,0.9149999999999998,0.97875,0.9165182186234819,0.946875,200
SNR_0db,DeepONMF_H2,3,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9171993623278812,0.946875,200
SNR_0db,DeepONMF_H2,4,PROMEDIO_MACRO,188,788,12,12,0.976,0.9400000000000001,0.985,0.9405081817506812,0.9625,200
SNR_0db,DeepONMF_H2,5,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.9862500000000001,0.948968253968254,0.965625,200
