,N,AS,MR,MS,MVP
N,99.0,0.0,0.5,0.0,0.5
AS,0.0,96.0,3.5000000000000004,0.0,0.5
MR,0.0,2.0,95.5,1.5,1.0
MS,0.0,1.0,1.0,95.0,3.0
MVP,3.0,2.5,1.5,1.5,91.5
