,N,AS,MR,MS,MVP
N,92.0,0.0,1.0,2.5,4.5
AS,0.0,95.0,2.5,1.5,1.0
MR,3.5000000000000004,5.5,82.0,3.0,6.0
MS,0.0,1.0,3.5000000000000004,92.5,3.0
MVP,6.0,3.5000000000000004,4.5,4.5,81.5
