,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,40,0,0,0,0
real_AS,0,38,0,1,1
real_MR,2,5,31,2,0
real_MS,0,1,0,37,2
real_MVP,4,3,0,1,32
