,N,AS,MR,MS,MVP
N,92.5,0.0,3.5000000000000004,0.0,4.0
AS,0.0,91.0,7.5,0.5,1.0
MR,2.5,3.5000000000000004,87.5,0.5,6.0
MS,0.5,0.5,6.5,86.0,6.5
MVP,5.0,5.5,11.0,3.0,75.5
