variante,silhouette_tsne,factor_silhouette_vs_base,reduccion_db_vs_base
sbv_media_base,0.1013717353343963,1.0,1.0
perfil_softmin_errores_f4,0.1740103811025619,1.716557189521828,2.0512987616660165
perfil_softmin_errores_f24,0.2326990365982055,2.295502151863121,2.5086724121687105
perfil_softmin_errores_f16,0.2434894144535064,2.401945805211922,2.572251834953211
perfil_softmin_errores_f12,0.2492031902074813,2.458310389828401,2.6093715187544215
perfil_softmin_errores_f8,0.2601711750030517,2.566506079281582,2.5808578640816338
