,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,30,1,0,2,7
real_AS,0,35,2,1,2
real_MR,1,20,18,1,0
real_MS,7,14,2,15,2
real_MVP,9,8,2,1,20
