indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h
0,8-28,2,0.0892407105308878,28x212,0.029041700006928295,8,0.06867954069028494,0.3863470079572137,28,0.044030683244336864,0.18624480981450356
1,8-28,2,0.09071317765134604,28x212,0.031327800010330975,8,0.07401385016259768,0.4108736892591097,28,0.03973020050042823,0.18108356560877573
2,8-28,2,0.09429296718250035,28x212,0.03170220000902191,8,0.07508238169729366,0.3363582255488888,28,0.038952705219830415,0.18727847368359693
3,8-28,2,0.1012522588068387,28x212,0.03596269999979995,8,0.07777835992524645,0.3141512654026875,28,0.046135388490179036,0.1421364710546812
4,8-28,2,0.09314245607736614,28x212,0.03383529998245649,8,0.0735635834955929,0.3155136667744441,28,0.038384908070766666,0.17080859765960835
5,8-28,2,0.09213023926261905,28x212,0.033234699978493154,8,0.07235180377259791,0.3443095046869515,28,0.040028249801020425,0.1906362220183629
6,8-28,2,0.09177310969940079,28x212,0.02753120000124909,8,0.07203602860686986,0.3839278001014825,28,0.04119756922577665,0.20475913029885323
7,8-28,2,0.09375406694624198,28x212,0.022143099980894476,8,0.07689901754865619,0.37838661317771677,28,0.040185829485942876,0.2000584082430586
8,8-28,2,0.07746502405026912,28x212,0.024293199996463954,8,0.0585736871917826,0.33673683159272466,28,0.03640003292578808,0.1504111503169506
9,8-28,2,0.08664533273911673,28x212,0.023386600019875914,8,0.06651334209936297,0.36541410737452146,28,0.04100004353909833,0.16347622963007089
10,8-28,2,0.09337798844116556,28x212,0.02759650000371039,8,0.07314317719576546,0.39400552337083583,28,0.04151670130297823,0.1878718220592668
11,8-28,2,0.10303589545544888,28x212,0.023809700011042878,8,0.08524725232087053,0.30724815871294275,28,0.038588081178001735,0.17025567874902384
12,8-28,2,0.09585156856930069,28x212,0.025458800024352968,8,0.07385759047930798,0.35227016149390206,28,0.04673939559032031,0.2089689125275209
13,8-28,2,0.0895298103633149,28x212,0.033393299992894754,8,0.06939474854317124,0.4129031039943759,28,0.053759410651803716,0.1820562655440654
14,8-28,2,0.09906992897203498,28x212,0.026918799994746223,8,0.07823118715754634,0.37454718175916557,28,0.04325190648708011,0.17161102148223648
15,8-28,2,0.10182092255453601,28x212,0.02545090002240613,8,0.08068939657039208,0.3019905341657572,28,0.044868007012300794,0.18226585981256288
16,8-28,2,0.0855596175223769,28x212,0.026214499986963347,8,0.06430447074474419,0.3510989547412406,28,0.039665447778987846,0.1585057229565579
17,8-28,2,0.09118921425896595,28x212,0.023047199996653944,8,0.07355850578775104,0.3591032637802825,28,0.04162406984395147,0.17430457613024536
18,8-28,2,0.09589133549474778,28x212,0.028935400012414902,8,0.07611953335418274,0.31032693908697434,28,0.039915906075424556,0.17357187405148172
19,8-28,2,0.11545612752726182,28x212,0.02485249997698702,8,0.09372601621492498,0.360796165843536,28,0.04777890730236119,0.1526932325528697
20,8-28,2,0.09803238383647374,28x212,0.03710849999333732,8,0.07641270780804764,0.3445414952176503,28,0.04341175880417877,0.17511712477052882
21,8-28,2,0.09949174937825031,28x212,0.02390420000301674,8,0.07888870286738547,0.40083033400151574,28,0.0450446047587107,0.2288638885907553
22,8-28,2,0.1150510111369774,28x212,0.03217269998276606,8,0.09595084710676863,0.3276764202031825,28,0.04042926707898041,0.21789362030264398
23,8-28,2,0.10066368949929677,28x212,0.02537240000674501,8,0.08392927718077817,0.3602148124380961,28,0.0389071609618894,0.18232065840650377
24,8-28,2,0.10016238872776975,28x212,0.03357310002320446,8,0.08351883256833614,0.3574608685619938,28,0.04316084822521008,0.1754673582996406
25,8-28,2,0.10547857997922983,28x212,0.03092260000994429,8,0.08273545697902918,0.36369989895155336,28,0.050791914302263076,0.22894053237256107
26,8-28,2,0.09834123282287839,28x212,0.02337499998975545,8,0.07477021040645893,0.25637482445676774,28,0.0392793447486004,0.18927676918522773
27,8-28,2,0.0908979447092953,28x212,0.0331364999874495,8,0.07144455040240687,0.33731754888915244,28,0.04047874853973029,0.1531688313832938
28,8-28,2,0.09738991040570986,28x212,0.033353299979353324,8,0.07808577964070149,0.2911646370253057,28,0.0392000698719951,0.16255725117647535
29,8-28,2,0.09254268968180578,28x212,0.027914500009501353,8,0.07134928809960507,0.26944249897608596,28,0.039887081376458626,0.24052362345262315
30,8-28,2,0.08435323303676823,28x212,0.021733100002165884,8,0.0626871388217657,0.3754558073970153,28,0.04343198074684644,0.15511847499136955
31,8-28,2,0.10047473830044625,28x212,0.027096099976915866,8,0.08238119705692905,0.3076052259417744,28,0.038592261668921636,0.172734732642209
32,8-28,2,0.09564321253498159,28x212,0.019675099989399314,8,0.07397735689506608,0.3721426043037686,28,0.03987060533045288,0.18481803785288214
33,8-28,2,0.09221184224883036,28x212,0.021929999988060445,8,0.07230556540115507,0.3231001908914349,28,0.039260013709800735,0.2140054806202958
34,8-28,2,0.0946443059176451,28x212,0.021539899986237288,8,0.07151184945104291,0.26729086760453846,28,0.042093903451290014,0.1662360612131708
35,8-28,2,0.08771133136213842,28x212,0.030773500009672716,8,0.06453822330069055,0.28572306275076054,28,0.03898201613579388,0.18968388576515283
36,8-28,2,0.0799031360242052,28x212,0.031233099987730384,8,0.05499968403152013,0.322311557995291,28,0.034857729766588415,0.19222224014219438
37,8-28,2,0.08180720121315663,28x212,0.022731300006853417,8,0.060866672170644,0.35592770472255536,28,0.04204579792176637,0.2019420992664591
38,8-28,2,0.0712513444227853,28x212,0.022607500024605542,8,0.05065223207088394,0.4115890238123959,28,0.03937257980581514,0.18554288464368746
39,8-28,2,0.07615885850963297,28x212,0.03120699999271892,8,0.045408125391716625,0.3604211914891953,28,0.038520593403041974,0.15081679694479938
40,8-28,2,0.09263351755700688,28x212,0.019762600015383214,8,0.07522968416998795,0.39715678912906954,28,0.04034999527228791,0.18916920517096938
41,8-28,2,0.08668666486937655,28x212,0.022571399982552975,8,0.060964621972644954,0.41043100793032167,28,0.04673068935804447,0.1801181682303391
42,8-28,2,0.09049114714999212,28x212,0.018817200005287305,8,0.07058773595812537,0.36101717595307253,28,0.03693749106240171,0.2581980853823288
43,8-28,2,0.08479384224492396,28x212,0.025019600027007982,8,0.062129149889958345,0.3282572948306867,28,0.03906866552398016,0.22084614942335298
44,8-28,2,0.09407662055842259,28x212,0.01904030001605861,8,0.07396944733952704,0.36992097001209895,28,0.06217232293662259,0.22063915128193667
45,8-28,2,0.0926949294972914,28x212,0.02050420001614839,8,0.07317739270298765,0.32120842572406316,28,0.04101518391423959,0.15381984840342294
46,8-28,2,0.08819637889007864,28x212,0.029172099981224164,8,0.06889035742847369,0.3419359944107433,28,0.03987726984287815,0.1951105645267675
47,8-28,2,0.08442276026507409,28x212,0.019244199997046962,8,0.061620877746950006,0.3783979343428535,28,0.0415476896777863,0.21588352863114801
48,8-28,2,0.08068932060003141,28x212,0.020338400005130097,8,0.05707966150241041,0.37119520262533295,28,0.043754035890224544,0.20706535172057952
49,8-28,2,0.07954308526604396,28x212,0.020910999999614432,8,0.05796458421574011,0.41644153813241075,28,0.04316446344761211,0.19878858335728145
50,8-28,2,0.08682755741448317,28x212,0.020867399987764657,8,0.06776767056953006,0.3600175077421652,28,0.0448259510810717,0.15202541749425802
51,8-28,2,0.09113702778670336,28x212,0.025048599985893816,8,0.06797537376224479,0.3813368858855725,28,0.04542158824782236,0.2015156763256589
52,8-28,2,0.09321886241454429,28x212,0.021072200004709885,8,0.07500212505189205,0.36792185551523976,28,0.037356571292842325,0.17876908673466194
53,8-28,2,0.0820142550139057,28x212,0.021826699987286702,8,0.06263722640402757,0.3820547020228539,28,0.037590835716952084,0.1510408239644449
54,8-28,2,0.0880324119022972,28x212,0.02599330001976341,8,0.06957352894526925,0.35305179883192317,28,0.035231757593292244,0.26805002629198904
55,8-28,2,0.0864618226960682,28x212,0.02563020001980476,8,0.06826793768648323,0.4046470786064256,28,0.03348891171541788,0.1985116048425592
56,8-28,2,0.08476266851359941,28x212,0.0229381000099238,8,0.06250451645498625,0.39926086951725853,28,0.03766669233957898,0.25676727868218113
57,8-28,2,0.09439630680661786,28x212,0.018923499999800697,8,0.06900145024472645,0.3750102563499582,28,0.04953659428227763,0.19512458138383784
58,8-28,2,0.08275690860742124,28x212,0.021802299976116046,8,0.058670123134821395,0.31932027994064544,28,0.0383568125623542,0.201060235786421
59,8-28,2,0.08946799323578894,28x212,0.02309090000926517,8,0.06646539105123013,0.3355898127063529,28,0.04018900346148238,0.17827218412544446
60,8-28,2,0.08220961562712345,28x212,0.0214212000137195,8,0.06337419034001479,0.3991700955979365,28,0.03976893224130277,0.29652976891736377
61,8-28,2,0.08669085565605308,28x212,0.02058680000482127,8,0.0612574790152666,0.40952387435500454,28,0.044159176347644415,0.18167777352164383
62,8-28,2,0.07862880630040398,28x212,0.02377960001467727,8,0.054969234460236584,0.3768218776109104,28,0.041946344595057285,0.20680051191664345
63,8-28,2,0.08110226919812703,28x212,0.023754099995130673,8,0.06506205346419085,0.4113080739401565,28,0.0371008672163326,0.2201992892596845
64,8-28,2,0.08562208195560331,28x212,0.020001000026240945,8,0.06399278956974613,0.34177598923720937,28,0.04201681015718616,0.20973563014689817
65,8-28,2,0.08785271326704772,28x212,0.024835699994582683,8,0.0671257741371272,0.3451974503336152,28,0.039708013499094,0.1757947227710888
66,8-28,2,0.08110889343094971,28x212,0.021522800001548603,8,0.054162169185782184,0.4594918530220572,28,0.05582150983415536,0.24981116036766468
67,8-28,2,0.07886328502039484,28x212,0.026401400013128296,8,0.061088999123436856,0.47460115018863724,28,0.03648718285030722,0.20252482477694012
68,8-28,2,0.08555204918249643,28x212,0.025912800017977133,8,0.06695580814035053,0.36480481725825253,28,0.037995277808199154,0.19289851916330494
69,8-28,2,0.10653771234050946,28x212,0.02209939999738708,8,0.08876236371963797,0.3469476743747502,28,0.042196144958957904,0.14790334096173635
70,8-28,2,0.09039068007461634,28x212,0.03052269999170676,8,0.07046267769027936,0.3725272330333536,28,0.038852998911379916,0.18041800247367543
71,8-28,2,0.08109349365908655,28x212,0.024265299987746403,8,0.06231660259793056,0.3195162482840796,28,0.04012570068500285,0.16745411012605263
72,8-28,2,0.08449425291355923,28x212,0.0264690000039991,8,0.06442084360548232,0.34971646308412735,28,0.03637407099916213,0.17601703269388821
73,8-28,2,0.09291260640430807,28x212,0.02432820000103675,8,0.07259069915209496,0.34448797583921625,28,0.04025193921395895,0.2418889477392796
74,8-28,2,0.0932128940082294,28x212,0.03047669999068603,8,0.07408733157335402,0.3722017934203542,28,0.043083903006297164,0.20678431320776983
75,8-28,2,0.09919522946408495,28x212,0.02424659999087453,8,0.07554610254442046,0.33892087007037713,28,0.04874594024231033,0.254647846682696
76,8-28,2,0.08579341962277524,28x212,0.025793000007979572,8,0.061305036811609155,0.32400827384691716,28,0.04530385494656994,0.20072122568088396
77,8-28,2,0.07996175158270549,28x212,0.023239999980432913,8,0.061590164165507236,0.36995479989854047,28,0.03786339915409067,0.22819388178013172
78,8-28,2,0.1003012368935045,28x212,0.03120399999897927,8,0.079721153579927,0.3245379789261164,28,0.04260849020725291,0.17268770145424564
79,8-28,2,0.0981964646373316,28x212,0.02081509999698028,8,0.07696370846523314,0.306442868978215,28,0.0414460405361979,0.17989916140252793
80,8-28,2,0.07543472809972175,28x212,0.031073999998625368,8,0.055826549319962296,0.36788330182820655,28,0.04144891269874519,0.16418696553515144
81,8-28,2,0.09192654094418187,28x212,0.023105300002498552,8,0.070591158178311,0.3244961700617379,28,0.04022582711324949,0.19368735878919818
82,8-28,2,0.09125664896372085,28x212,0.021817200002260506,8,0.07530851835917833,0.29762968341292356,28,0.035674470332244815,0.16433930810335262
83,8-28,2,0.08797543656252028,28x212,0.02153960001305677,8,0.0676811461776684,0.34163709412784676,28,0.03656549870771421,0.2347186695482643
