,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,35,0,0,2,3
real_AS,0,34,1,1,4
real_MR,2,0,33,4,1
real_MS,0,2,1,37,0
real_MVP,3,3,2,2,30
