indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
979,SNR_-8db,MVP,New_MVP_180.wav,24,DeepONMF_H1,1,nndsvd,0.32410161732659704,24x212,0.02451020001899451,24,0.32410161732659704,0.31485910634878794,0.0236594999441877
980,SNR_-8db,MVP,New_MVP_181.wav,24,DeepONMF_H1,1,nndsvd,0.3238277192577682,24x212,0.026272300048731267,24,0.3238277192577682,0.30257514458850016,0.025534400017932057
981,SNR_-8db,MVP,New_MVP_182.wav,24,DeepONMF_H1,1,nndsvd,0.32389869198457955,24x212,0.02581130003090948,24,0.32389869198457955,0.30480090510271174,0.02503920008894056
982,SNR_-8db,MVP,New_MVP_183.wav,24,DeepONMF_H1,1,nndsvd,0.3268340718140628,24x212,0.027059499989263713,24,0.3268340718140628,0.2952351179465722,0.02628370001912117
983,SNR_-8db,MVP,New_MVP_184.wav,24,DeepONMF_H1,1,nndsvd,0.3213017807897402,24x212,0.024376100045628846,24,0.3213017807897402,0.31426403206021714,0.023603999987244606
984,SNR_-8db,MVP,New_MVP_185.wav,24,DeepONMF_H1,1,nndsvd,0.3201342281472859,24x212,0.026184000074863434,24,0.3201342281472859,0.30200209780579346,0.025432200054638088
985,SNR_-8db,MVP,New_MVP_186.wav,24,DeepONMF_H1,1,nndsvd,0.3312280049205046,24x212,0.0261388000799343,24,0.3312280049205046,0.3096735823235341,0.025361399981193244
986,SNR_-8db,MVP,New_MVP_187.wav,24,DeepONMF_H1,1,nndsvd,0.32084549143102253,24x212,0.025328999967314303,24,0.32084549143102253,0.2960865897337115,0.0246095999609679
987,SNR_-8db,MVP,New_MVP_188.wav,24,DeepONMF_H1,1,nndsvd,0.33073396363606367,24x212,0.02788049995433539,24,0.33073396363606367,0.30004785143001805,0.02725679997820407
988,SNR_-8db,MVP,New_MVP_189.wav,24,DeepONMF_H1,1,nndsvd,0.3190953893620597,24x212,0.025756499962881207,24,0.3190953893620597,0.29526638234708386,0.0251149000832811
989,SNR_-8db,MVP,New_MVP_190.wav,24,DeepONMF_H1,1,nndsvd,0.3197515831802668,24x212,0.027129899943247437,24,0.31975158318026686,0.30001641129245515,0.026487400056794286
990,SNR_-8db,MVP,New_MVP_191.wav,24,DeepONMF_H1,1,nndsvd,0.3173665561382376,24x212,0.025667599984444678,24,0.3173665561382376,0.29375352854536607,0.024675099994055927
991,SNR_-8db,MVP,New_MVP_192.wav,24,DeepONMF_H1,1,nndsvd,0.3193405749308491,24x212,0.026271199923940003,24,0.3193405749308491,0.3061365876208554,0.025481500080786645
992,SNR_-8db,MVP,New_MVP_193.wav,24,DeepONMF_H1,1,nndsvd,0.3206653521333143,24x212,0.026556900003924966,24,0.3206653521333143,0.3089049373232656,0.025921200052835047
993,SNR_-8db,MVP,New_MVP_194.wav,24,DeepONMF_H1,1,nndsvd,0.31606773400455257,24x212,0.02592380007263273,24,0.31606773400455257,0.3162736238470759,0.02517819998320192
994,SNR_-8db,MVP,New_MVP_195.wav,24,DeepONMF_H1,1,nndsvd,0.3235929201506169,24x212,0.03080690000206232,24,0.3235929201506169,0.3089511870655766,0.029943100060336292
995,SNR_-8db,MVP,New_MVP_196.wav,24,DeepONMF_H1,1,nndsvd,0.3253921125427391,24x212,0.027570300037041306,24,0.3253921125427391,0.3011543447233105,0.026565399952232838
996,SNR_-8db,MVP,New_MVP_197.wav,24,DeepONMF_H1,1,nndsvd,0.25059400357073786,24x212,0.02803469996433705,24,0.25059400357073786,0.3047643112683351,0.02731179993133992
997,SNR_-8db,MVP,New_MVP_198.wav,24,DeepONMF_H1,1,nndsvd,0.24562617693869276,24x212,0.025919800042174757,24,0.24562617693869276,0.315132359077585,0.025187899940647185
998,SNR_-8db,MVP,New_MVP_199.wav,24,DeepONMF_H1,1,nndsvd,0.3227791715921905,24x212,0.026082500000484288,24,0.3227791715921905,0.30067542348573717,0.025224999990314245
999,SNR_-8db,MVP,New_MVP_200.wav,24,DeepONMF_H1,1,nndsvd,0.3223875931906032,24x212,0.027182599995285273,24,0.3223875931906032,0.3042031965624336,0.026239900034852326
