comparación,distancia
N-AS,0.2820448992271129
N-MR,0.36450556446493243
N-MS,0.09966348217981447
N-MVP,0.3365333677151415
AS-MR,0.08246066523781953
AS-MS,0.18238141704729843
AS-MVP,0.054488468488028574
MR-MS,0.26484208228511796
MR-MVP,0.027972196749790956
MS-MVP,0.236869885535327
