,N,AS,MR,MS,MVP
N,95.0,0.0,1.5,1.0,2.5
AS,0.0,90.5,3.0,4.0,2.5
MR,0.5,5.0,86.0,7.5,1.0
MS,3.0,5.0,2.5,84.5,5.0
MVP,6.5,7.5,4.5,5.0,76.5
