,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,36,0,0,2,2
real_AS,0,33,2,5,0
real_MR,0,10,26,2,2
real_MS,3,3,1,33,0
real_MVP,10,4,7,7,12
