clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,38,146,14,2,0.92,0.95,0.9125,0.7307692307692307,0.9312499999999999,40
AS,29,143,17,11,0.86,0.725,0.89375,0.6304347826086957,0.809375,40
MR,29,153,7,11,0.91,0.725,0.95625,0.8055555555555556,0.840625,40
MS,27,145,15,13,0.86,0.675,0.90625,0.6428571428571429,0.790625,40
MVP,19,155,5,21,0.87,0.475,0.96875,0.7916666666666666,0.721875,40
PROMEDIO_MACRO,142,742,58,58,0.884,0.7100000000000001,0.9275,0.7202566756914582,0.81875,200
