epoca,loss_train,loss_val
1,1.605740531494743,1.6040000915527344
2,1.5841775160086782,1.5464179515838623
3,1.4326698591834621,1.257849097251892
4,1.222266529735766,1.134497046470642
5,1.1373667199360697,1.0803372859954834
6,1.0893631091243343,1.0519949197769165
7,1.0563449012605768,1.0479662418365479
8,1.056842902773305,1.0294111967086792
9,1.0030913870585592,1.0010393857955933
10,1.0066401613386053,0.9989421367645264
11,0.9824651260125009,0.9606454968452454
12,0.9596723114189348,0.9794003963470459
13,0.966693545642652,0.9339062571525574
14,0.9344734643634997,0.924917459487915
15,0.9221412413998654,0.9714758396148682
16,0.9605535370738882,0.9130693674087524
17,0.9133449181130058,0.8957758545875549
18,0.9567918808836686,0.8883132934570312
19,0.912091706928454,0.9431002736091614
20,0.9025373051041051,0.855703592300415
21,0.9019951247855237,0.8679624795913696
22,0.8907139599323273,0.8552082180976868
23,0.8477482434950376,0.8271689414978027
24,0.8443014433509425,0.8588414788246155
25,0.9014043008026323,0.8368958234786987
26,0.8529298368253206,0.797743022441864
27,0.855068796559384,0.8018152713775635
28,0.8483801586063284,0.8165886402130127
29,0.8544275980246695,0.8156421184539795
30,0.8441739529371262,0.7911862134933472
