clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,36,130,30,4,0.83,0.9,0.8125,0.5454545454545454,0.85625,40
AS,25,127,33,15,0.76,0.625,0.79375,0.43103448275862066,0.709375,40
MR,15,155,5,25,0.85,0.375,0.96875,0.75,0.671875,40
MS,10,143,17,30,0.765,0.25,0.89375,0.37037037037037035,0.571875,40
MVP,7,138,22,33,0.725,0.175,0.8625,0.2413793103448276,0.51875,40
PROMEDIO_MACRO,93,693,107,107,0.786,0.46499999999999997,0.86625,0.4676477417856727,0.665625,200
