epoca,loss_train,loss_val
1,1.57363267007627,1.4031891822814941
2,1.3509487070535358,1.2244868278503418
3,1.1921750950185876,1.096191167831421
4,1.13203007296512,1.069021224975586
5,1.0598090479248448,0.9919207692146301
6,0.9858110390211406,0.8991747498512268
7,0.9055314628701461,0.8557034134864807
8,0.850043524252741,0.8067919015884399
9,0.7924692975847345,0.7766472697257996
10,0.7703151451913934,0.7539206147193909
11,0.6502102087987097,0.7199676036834717
12,0.6457933054158562,0.7782343029975891
13,0.6151467067630667,0.7125306725502014
14,0.5107774965857205,0.8602447509765625
15,0.4548115604802182,0.7778110504150391
16,0.45640075442038086,0.7945986390113831
17,0.42390164821163606,0.7342238426208496
18,0.40023737557624517,0.7414504885673523
19,0.2975601751945521,0.8183388710021973
20,0.32410027184768725,0.7849032878875732
21,0.26384048340351957,0.8006794452667236
22,0.23725640067928716,0.9129246473312378
23,0.18312551983092962,0.8778247237205505
