,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,0,0,3,0
real_AS,0,28,6,4,2
real_MR,0,2,33,3,2
real_MS,3,1,1,25,10
real_MVP,4,1,2,4,29
