distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
10-9-7-5-3,5,KNN,DeepONMF_H5,1,159,30,10,1,0.945,0.99375,0.75,0.9408284023668639,0.871875
10-9-7-5-3,5,KNN,DeepONMF_H5,2,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
10-9-7-5-3,5,KNN,DeepONMF_H5,3,156,35,5,4,0.955,0.975,0.875,0.968944099378882,0.925
10-9-7-5-3,5,KNN,DeepONMF_H5,4,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
10-9-7-5-3,5,KNN,DeepONMF_H5,5,159,35,5,1,0.97,0.99375,0.875,0.9695121951219512,0.934375
10-9-7-5-3,5,KNN,DeepONMF_W,1,146,33,7,14,0.895,0.9125,0.825,0.954248366013072,0.8687499999999999
10-9-7-5-3,5,KNN,DeepONMF_W,2,143,36,4,17,0.895,0.89375,0.9,0.9727891156462585,0.8968750000000001
10-9-7-5-3,5,KNN,DeepONMF_W,3,151,33,7,9,0.92,0.94375,0.825,0.9556962025316456,0.8843749999999999
10-9-7-5-3,5,KNN,DeepONMF_W,4,145,31,9,15,0.88,0.90625,0.775,0.9415584415584416,0.840625
10-9-7-5-3,5,KNN,DeepONMF_W,5,152,33,7,8,0.925,0.95,0.825,0.9559748427672956,0.8875
10-9-7-5-3,5,SVM,DeepONMF_H5,1,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
10-9-7-5-3,5,SVM,DeepONMF_H5,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
10-9-7-5-3,5,SVM,DeepONMF_H5,3,155,37,3,5,0.96,0.96875,0.925,0.9810126582278481,0.946875
10-9-7-5-3,5,SVM,DeepONMF_H5,4,154,38,2,6,0.96,0.9625,0.95,0.9871794871794872,0.95625
10-9-7-5-3,5,SVM,DeepONMF_H5,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
10-9-7-5-3,5,SVM,DeepONMF_W,1,142,39,1,18,0.905,0.8875,0.975,0.993006993006993,0.9312499999999999
10-9-7-5-3,5,SVM,DeepONMF_W,2,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
10-9-7-5-3,5,SVM,DeepONMF_W,3,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
10-9-7-5-3,5,SVM,DeepONMF_W,4,143,39,1,17,0.91,0.89375,0.975,0.9930555555555556,0.934375
10-9-7-5-3,5,SVM,DeepONMF_W,5,147,38,2,13,0.925,0.91875,0.95,0.9865771812080537,0.934375
10-9-7-5-3,5,UjaNet,DeepONMF_H5,1,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
10-9-7-5-3,5,UjaNet,DeepONMF_H5,2,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
10-9-7-5-3,5,UjaNet,DeepONMF_H5,3,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
10-9-7-5-3,5,UjaNet,DeepONMF_H5,4,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
10-9-7-5-3,5,UjaNet,DeepONMF_H5,5,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
10-9-7-5-3,5,UjaNet,DeepONMF_W,1,155,39,1,5,0.97,0.96875,0.975,0.9935897435897436,0.971875
10-9-7-5-3,5,UjaNet,DeepONMF_W,2,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
10-9-7-5-3,5,UjaNet,DeepONMF_W,3,154,30,10,6,0.92,0.9625,0.75,0.9390243902439024,0.85625
10-9-7-5-3,5,UjaNet,DeepONMF_W,4,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
10-9-7-5-3,5,UjaNet,DeepONMF_W,5,160,33,7,0,0.965,1.0,0.825,0.9580838323353293,0.9125
