,N,AS,MR,MS,MVP
N,98.5,0.0,0.5,0.0,1.0
AS,0.0,97.0,2.0,0.0,1.0
MR,0.0,2.0,95.0,1.5,1.5
MS,0.0,0.5,2.0,94.5,3.0
MVP,2.0,2.0,1.5,1.5,93.0
