indice_interno,clase,archivo,distribucion,error_final,forma_w_final,forma_h3,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,N,New_N_001.wav,15-10-5,0.3080253886647958,126x5,5x212,15,0.15773422963935968,0.527791376507431,0.002045099998213118,10,0.475781480385765,0.4672825807506007,0.0006173000001581386,5,0.5542241917159016,0.41197928105751247,0.0004498000016610604
1,N,New_N_002.wav,15-10-5,0.274356904104591,126x5,5x212,15,0.14841268367046806,0.5601456888824845,0.0017173000014736317,10,0.4908267267255355,0.48431886480861,0.0009783000023162458,5,0.5897518689153347,0.4665810158702892,0.0005574999995587859
2,AS,New_AS_001.wav,15-10-5,0.3893096530050463,126x5,5x212,15,0.3165720130728275,0.498534167649398,0.0024388000019825995,10,0.597638491326732,0.47173928659995396,0.0005893999987165444,5,0.6059491270330608,0.4228275314455868,0.00043060000098193996
3,AS,New_AS_002.wav,15-10-5,0.37544302648847927,126x5,5x212,15,0.2955638249204135,0.49938039086457703,0.001832599999033846,10,0.5549618946620795,0.37789659906189793,0.0006659999999101274,5,0.6908736544972359,0.4345703807794665,0.00042630000098142773
4,MR,New_MR_001.wav,15-10-5,0.3369493187661246,126x5,5x212,15,0.24226361115242562,0.5249203956684708,0.0015999999995983671,10,0.5383277636452877,0.43674389431890404,0.000625900000159163,5,0.6308596899564105,0.44965819071667595,0.0005354999993869569
5,MR,New_MR_002.wav,15-10-5,0.3897866763798108,126x5,5x212,15,0.27305563271103117,0.5243154014589777,0.0016509000015503261,10,0.539848131147722,0.40819513565093085,0.0009372999993502162,5,0.6308659750467727,0.42272111940989465,0.0009169999975711107
6,MS,New_MS_001.wav,15-10-5,0.3392999432820763,126x5,5x212,15,0.2070911895211249,0.5259903632283325,0.0016204999992623925,10,0.5240858734643623,0.40618062427291096,0.0005693000020983163,5,0.6254312494307255,0.4299715163799994,0.00041880000208038837
7,MS,New_MS_002.wav,15-10-5,0.29326762501541015,126x5,5x212,15,0.21526311758271904,0.5359799396145237,0.0018713999997999053,10,0.5341205473082661,0.5016424312430354,0.0007218999999167863,5,0.5563409535507926,0.39669664884863115,0.0004293999991205055
8,MVP,New_MVP_001.wav,15-10-5,0.6253509671350953,126x5,5x212,15,0.3355563400637327,0.4138035943472276,0.0017837000013969373,10,0.4763473144078235,0.31331380826494853,0.0007756999984849244,5,0.5659497533758512,0.41217781164844114,0.00042050000047311187
9,MVP,New_MVP_002.wav,15-10-5,0.5912475682476647,126x5,5x212,15,0.46788544461903886,0.4742390126384969,0.0016794000002846587,10,0.575209411300318,0.4290810874810961,0.0009785999973246362,5,0.627820658405791,0.37361725312697863,0.0005041000003984664
