,N,AS,MR,MS,MVP
N,88.0,0.5,0.0,6.0,5.5
AS,0.0,81.5,9.0,7.000000000000001,2.5
MR,0.0,11.0,77.0,7.5,4.5
MS,5.5,9.0,3.5000000000000004,72.0,10.0
MVP,11.5,7.5,9.0,8.0,64.0
