,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,40,0,0,0,0
real_AS,0,38,1,1,0
real_MR,2,2,33,2,1
real_MS,0,1,1,38,0
real_MVP,9,3,0,0,28
