posicion,distribucion,numero_capas,Accuracy_SVM,Score_SVM,Accuracy_std_SVM,Accuracy_KNN,Score_KNN,Accuracy_std_KNN,Accuracy_UjaNet,Score_UjaNet,Accuracy_std_UjaNet,Accuracy_media,Score_medio,estabilidad_std,finalista
1,16-4,2,0.976,0.97,0.0114017542509913,0.974,0.955625,0.0119373363863133,0.994,0.994375,0.0041833001326703,0.9813333333333333,0.9733333333333333,0.0091741302566583,True
2,17-3,2,0.976,0.96625,0.0138744369255116,0.97,0.95125,0.0145773797371132,0.995,0.993125,0.0035355339059327,0.9803333333333333,0.9702083333333333,0.010662450189519166,True
3,16-3,2,0.975,0.965625,0.0141421356237309,0.973,0.955,0.0125499003980111,0.993,0.98625,0.0067082039324993,0.9803333333333333,0.9689583333333333,0.011133413318080434,True
4,8-3,2,0.973,0.9625,0.0152479506819769,0.971,0.951875,0.0082158383625775,0.994,0.990625,0.0022360679774997,0.9793333333333333,0.9683333333333334,0.008566619007351367,True
5,14-8-3,3,0.973,0.95875,0.0103682206766638,0.97,0.9475,0.0158113883008419,0.994,0.990625,0.0065192024052026,0.9790000000000001,0.9656250000000001,0.010899603794236101,True
6,5-4,2,0.973,0.960625,0.0152479506819769,0.968,0.93875,0.0135092560861063,0.995,0.989375,0.005,0.9786666666666667,0.9629166666666666,0.011252402256027734,False
7,15-3,2,0.975,0.9675,0.0106066017177982,0.969,0.94875,0.0119373363863133,0.99,0.984375,0.0117260393995585,0.9780000000000001,0.9668749999999999,0.011423325834556667,False
8,11-4,2,0.973,0.9625,0.0115108644332213,0.971,0.951875,0.0089442719099991,0.99,0.9825,0.0093541434669348,0.9780000000000001,0.9656250000000001,0.009936426603385068,False
9,6-3,2,0.972,0.961875,0.0144048602908879,0.968,0.93875,0.0103682206766638,0.994,0.9925,0.0041833001326703,0.9780000000000001,0.964375,0.009652127033407334,False
10,15-4,2,0.973,0.9625,0.0152479506819769,0.968,0.951875,0.0192353840616713,0.993,0.988125,0.0027386127875258,0.9779999999999999,0.9675000000000001,0.012407315843724669,False
11,16-8-3,3,0.975,0.96375,0.016583123951777,0.966,0.943125,0.0151657508881031,0.993,0.988125,0.0075828754440515,0.9779999999999999,0.965,0.013110583427977199,False
12,13-3,2,0.973,0.968125,0.0125499003980111,0.969,0.950625,0.0089442719099991,0.991,0.983125,0.0096176920308356,0.9776666666666666,0.9672916666666668,0.010370621446281933,False
13,8-4,2,0.974,0.965,0.0119373363863133,0.965,0.935,0.0136930639376292,0.994,0.990625,0.0054772255750516,0.9776666666666666,0.9635416666666666,0.010369208632998034,False
14,9-3,2,0.973,0.95875,0.0164316767251549,0.97,0.945625,0.0136930639376291,0.989,0.985625,0.0065192024052026,0.9773333333333333,0.9633333333333333,0.012214647689328867,False
