,N,AS,MR,MS,MVP
N,97.0,0.0,0.5,1.0,1.5
AS,0.0,97.5,1.0,0.5,1.0
MR,2.0,6.0,88.5,3.0,0.5
MS,1.0,0.0,1.0,94.0,4.0
MVP,3.0,2.5,1.0,2.0,91.5
