,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,1,0,2,0
real_AS,0,23,5,8,4
real_MR,0,6,29,5,0
real_MS,3,7,0,24,6
real_MVP,9,8,3,3,17
