,N,AS,MR,MS,MVP
N,91.5,0.5,0.0,3.0,5.0
AS,0.0,81.5,6.5,8.0,4.0
MR,0.0,13.0,68.5,9.5,9.0
MS,3.5000000000000004,12.5,1.0,72.5,10.5
MVP,6.5,7.000000000000001,14.499999999999998,14.000000000000002,57.99999999999999
