indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_-8db,N,New_N_001.wav,28-2,DeepONMF_H2,2,0.43999521528911445,2x212,0.021508099976927042,28,0.3163507267933003,0.2859080805669571,0.017903300002217293,2,0.7337514247790625,0.16002184004338094,0.00263859995175153
1,SNR_-8db,N,New_N_002.wav,28-2,DeepONMF_H2,2,0.4350288664803661,2x212,0.023441700031980872,28,0.31937550394007996,0.2717639264465769,0.020033299922943115,2,0.7762885883145201,0.19919542632413217,0.0024402999551966786
2,SNR_-8db,N,New_N_003.wav,28-2,DeepONMF_H2,2,0.47021306120560413,2x212,0.02093939995393157,28,0.31899305178210347,0.28271575278004557,0.01771600008942187,2,0.7285641122442488,0.22525566539053354,0.0023761000484228134
3,SNR_-8db,N,New_N_004.wav,28-2,DeepONMF_H2,2,0.44060842463688127,2x212,0.021143099991604686,28,0.31285185482325234,0.2796005183947077,0.01786100002937019,2,0.7669070595099139,0.22970633786124178,0.002495399909093976
4,SNR_-8db,N,New_N_005.wav,28-2,DeepONMF_H2,2,0.45690119451100997,2x212,0.02095879998523742,28,0.3168437200925263,0.28120336362410453,0.017579200095497072,2,0.7297848106082484,0.14811798732750092,0.002726700040511787
5,SNR_-8db,N,New_N_006.wav,28-2,DeepONMF_H2,2,0.5257577341195707,2x212,0.0194045000243932,28,0.3152632720125806,0.2788295927065911,0.016105600050650537,2,0.778343278797579,0.24455398239411213,0.0025357999838888645
6,SNR_-8db,N,New_N_007.wav,28-2,DeepONMF_H2,2,0.4497333228368762,2x212,0.018630399950779974,28,0.32024970460694363,0.26479175579830083,0.015561399981379509,2,0.7863038132487397,0.2228743140741436,0.0022908999817445874
7,SNR_-8db,N,New_N_008.wav,28-2,DeepONMF_H2,2,0.4553446369019285,2x212,0.020291499909944832,28,0.3179612018188477,0.27157905932984705,0.017266000038944185,2,0.7698804611087219,0.19556519673854167,0.002307899994775653
8,SNR_-8db,N,New_N_009.wav,28-2,DeepONMF_H2,2,0.43489304079137353,2x212,0.020666499971412122,28,0.3130429407719839,0.2890424179611425,0.01688310003373772,2,0.7680404235537872,0.2210857520963831,0.0031376000260934234
9,SNR_-8db,N,New_N_010.wav,28-2,DeepONMF_H2,2,0.4377507318191923,2x212,0.02009479992557317,28,0.3122455755685839,0.2898018524805434,0.016535200062207878,2,0.661014447469182,0.17361329822879776,0.002304399968124926
