pareja,sentido,distribucion,predicciones,aciertos,mayor_error_real,mayor_error_predicha,mayor_error_cantidad,csv_conteos,csv_porcentajes
48,creciente,2-5-11-26,1000,904,MR,AS,16,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_048\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_048\creciente\porcentajes.csv
48,decreciente,26-11-5-2,1000,933,MVP,N,10,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_048\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_048\decreciente\porcentajes.csv
49,creciente,4-26,1000,896,MR,AS,17,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_049\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_049\creciente\porcentajes.csv
49,decreciente,26-4,1000,931,MR,AS,12,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_049\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_049\decreciente\porcentajes.csv
50,creciente,4-10-26,1000,923,MR,AS,10,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_050\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_050\creciente\porcentajes.csv
50,decreciente,26-10-4,1000,929,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_050\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_050\decreciente\porcentajes.csv
51,creciente,4-7-14-26,1000,918,MR,AS,14,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_051\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_051\creciente\porcentajes.csv
51,decreciente,26-14-7-4,1000,923,AS,MR,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_051\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_051\decreciente\porcentajes.csv
52,creciente,6-26,1000,936,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_052\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_052\creciente\porcentajes.csv
52,decreciente,26-6,1000,942,MS,MVP,8,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_052\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_052\decreciente\porcentajes.csv
53,creciente,6-12-26,1000,909,MR,AS,19,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_053\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_053\creciente\porcentajes.csv
53,decreciente,26-12-6,1000,928,MR,AS,11,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_053\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_053\decreciente\porcentajes.csv
54,creciente,6-10-16-26,1000,914,MR,AS,15,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_054\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_054\creciente\porcentajes.csv
54,decreciente,26-16-10-6,1000,925,MR,AS,12,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_054\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_054\decreciente\porcentajes.csv
55,creciente,8-26,1000,916,MR,AS,12,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_055\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_055\creciente\porcentajes.csv
55,decreciente,26-8,1000,944,MR,AS,7,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_055\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_055\decreciente\porcentajes.csv
56,creciente,8-14-26,1000,917,MR,AS,13,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_056\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_056\creciente\porcentajes.csv
56,decreciente,26-14-8,1000,918,MR,AS,17,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_056\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_056\decreciente\porcentajes.csv
57,creciente,8-12-18-26,1000,918,MS,MVP,11,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_057\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_057\creciente\porcentajes.csv
57,decreciente,26-18-12-8,1000,926,MR,AS,14,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_057\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_057\decreciente\porcentajes.csv
58,creciente,10-26,1000,927,MR,AS,12,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_058\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_058\creciente\porcentajes.csv
58,decreciente,26-10,1000,930,MR,AS,13,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_058\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_058\decreciente\porcentajes.csv
59,creciente,10-16-26,1000,907,MR,AS,14,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_059\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_059\creciente\porcentajes.csv
59,decreciente,26-16-10,1000,932,AS,MR,10,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_059\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_059\decreciente\porcentajes.csv
60,creciente,10-14-19-26,1000,918,MR,AS,13,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_060\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_060\creciente\porcentajes.csv
60,decreciente,26-19-14-10,1000,916,MR,AS,16,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_060\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_060\decreciente\porcentajes.csv
61,creciente,2-24,1000,919,MR,AS,12,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_061\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_061\creciente\porcentajes.csv
61,decreciente,24-2,1000,942,MR,AS,8,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_061\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_061\decreciente\porcentajes.csv
62,creciente,2-7-24,1000,910,MR,AS,13,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_062\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_062\creciente\porcentajes.csv
62,decreciente,24-7-2,1000,921,MR,AS,11,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_062\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_062\decreciente\porcentajes.csv
63,creciente,2-5-10-24,1000,917,MR,AS,14,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_063\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_063\creciente\porcentajes.csv
63,decreciente,24-10-5-2,1000,936,MVP,N,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_063\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_063\decreciente\porcentajes.csv
64,creciente,4-24,1000,923,MR,AS,13,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_064\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_064\creciente\porcentajes.csv
64,decreciente,24-4,1000,934,MR,AS,10,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_064\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_064\decreciente\porcentajes.csv
65,creciente,4-10-24,1000,919,MR,AS,15,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_065\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_065\creciente\porcentajes.csv
65,decreciente,24-10-4,1000,925,MVP,N,12,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_065\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_065\decreciente\porcentajes.csv
66,creciente,4-7-13-24,1000,928,MR,AS,11,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_066\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_066\creciente\porcentajes.csv
66,decreciente,24-13-7-4,1000,927,MR,AS,11,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_066\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_066\decreciente\porcentajes.csv
67,creciente,6-24,1000,920,MR,AS,14,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_067\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_067\creciente\porcentajes.csv
67,decreciente,24-6,1000,944,AS,MR,7,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_067\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_067\decreciente\porcentajes.csv
68,creciente,6-12-24,1000,927,MR,AS,10,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_068\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_068\creciente\porcentajes.csv
68,decreciente,24-12-6,1000,938,AS,MR,7,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_068\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_068\decreciente\porcentajes.csv
69,creciente,6-10-15-24,1000,891,MR,AS,24,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_069\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_069\creciente\porcentajes.csv
69,decreciente,24-15-10-6,1000,939,MR,AS,11,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_069\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_069\decreciente\porcentajes.csv
70,creciente,8-24,1000,922,MR,AS,13,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_070\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_070\creciente\porcentajes.csv
70,decreciente,24-8,1000,941,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_070\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_070\decreciente\porcentajes.csv
71,creciente,8-14-24,1000,919,MS,MVP,11,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_071\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_071\creciente\porcentajes.csv
71,decreciente,24-14-8,1000,932,MR,AS,15,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_071\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_071\decreciente\porcentajes.csv
72,creciente,8-12-17-24,1000,905,N,MVP,18,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_072\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_072\creciente\porcentajes.csv
72,decreciente,24-17-12-8,1000,933,MR,AS,16,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_072\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_072\decreciente\porcentajes.csv
73,creciente,10-24,1000,931,MR,AS,7,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_073\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_073\creciente\porcentajes.csv
73,decreciente,24-10,1000,944,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_073\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_073\decreciente\porcentajes.csv
74,creciente,10-15-24,1000,929,N,MVP,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_074\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_074\creciente\porcentajes.csv
74,decreciente,24-15-10,1000,932,MR,AS,8,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_074\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_074\decreciente\porcentajes.csv
75,creciente,10-13-18-24,1000,920,N,MVP,10,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_075\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_075\creciente\porcentajes.csv
75,decreciente,24-18-13-10,1000,946,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_075\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_075\decreciente\porcentajes.csv
76,creciente,2-22,1000,923,MR,AS,11,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_076\creciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_076\creciente\porcentajes.csv
76,decreciente,22-2,1000,937,MR,AS,9,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_076\decreciente\conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Implementacion_last\3 pruebas de juan\prueba para encontrar mejor solucion\ultima prueba juan\excel enviado por juan\resultados\matrices_confusion\pareja_076\decreciente\porcentajes.csv
