,N,AS,MR,MS,MVP
N,92.5,0.0,1.0,2.0,4.5
AS,0.0,96.0,3.0,0.5,0.5
MR,2.5,5.5,91.5,0.0,0.5
MS,0.0,1.0,5.0,88.5,5.5
MVP,3.0,4.0,12.0,4.5,76.5
