,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,38,0,0,2,0
real_AS,0,34,1,5,0
real_MR,0,14,24,2,0
real_MS,6,15,0,16,3
real_MVP,9,6,3,3,19
