,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,26,0,12,0,2
real_AS,0,26,14,0,0
real_MR,0,0,38,0,2
real_MS,0,1,5,31,3
real_MVP,1,5,3,3,28
