distribucion,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
15-10-5,KNN,DeepONMF_H3,1,158,34,6,2,0.96,0.9875,0.85,0.9634146341463414,0.91875
15-10-5,KNN,DeepONMF_H3,2,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
15-10-5,KNN,DeepONMF_H3,3,156,31,9,4,0.935,0.975,0.775,0.9454545454545454,0.875
15-10-5,KNN,DeepONMF_H3,4,157,33,7,3,0.95,0.98125,0.825,0.9573170731707317,0.903125
15-10-5,KNN,DeepONMF_H3,5,158,31,9,2,0.945,0.9875,0.775,0.9461077844311377,0.8812500000000001
15-10-5,KNN,DeepONMF_W,1,145,39,1,15,0.92,0.90625,0.975,0.9931506849315068,0.940625
15-10-5,KNN,DeepONMF_W,2,142,34,6,18,0.88,0.8875,0.85,0.9594594594594594,0.8687499999999999
15-10-5,KNN,DeepONMF_W,3,146,36,4,14,0.91,0.9125,0.9,0.9733333333333334,0.90625
15-10-5,KNN,DeepONMF_W,4,143,35,5,17,0.89,0.89375,0.875,0.9662162162162162,0.884375
15-10-5,KNN,DeepONMF_W,5,147,35,5,13,0.91,0.91875,0.875,0.9671052631578947,0.896875
15-10-5,SVM,DeepONMF_H3,1,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
15-10-5,SVM,DeepONMF_H3,2,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
15-10-5,SVM,DeepONMF_H3,3,155,38,2,5,0.965,0.96875,0.95,0.9872611464968153,0.959375
15-10-5,SVM,DeepONMF_H3,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
15-10-5,SVM,DeepONMF_H3,5,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
15-10-5,SVM,DeepONMF_W,1,144,39,1,16,0.915,0.9,0.975,0.993103448275862,0.9375
15-10-5,SVM,DeepONMF_W,2,148,38,2,12,0.93,0.925,0.95,0.9866666666666667,0.9375
15-10-5,SVM,DeepONMF_W,3,148,37,3,12,0.925,0.925,0.925,0.9801324503311258,0.925
15-10-5,SVM,DeepONMF_W,4,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.9281250000000001
15-10-5,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
15-10-5,UjaNet,DeepONMF_H3,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
15-10-5,UjaNet,DeepONMF_H3,2,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
15-10-5,UjaNet,DeepONMF_H3,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
15-10-5,UjaNet,DeepONMF_H3,4,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
15-10-5,UjaNet,DeepONMF_H3,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
15-10-5,UjaNet,DeepONMF_W,1,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
15-10-5,UjaNet,DeepONMF_W,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
15-10-5,UjaNet,DeepONMF_W,3,153,37,3,7,0.95,0.95625,0.925,0.9807692307692307,0.940625
15-10-5,UjaNet,DeepONMF_W,4,155,33,7,5,0.94,0.96875,0.825,0.9567901234567902,0.896875
15-10-5,UjaNet,DeepONMF_W,5,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
